Name,Price,Rating
The Prestige Homes,30013,10.0
Glorious Luxury Home at Gallery Apartments,67914,10.0
The VVIP Luxury Apartments@The Gallery,92610,10.0
Tricia's PLACE,97755,10.0
Accra Luxury Homes @ East Legon,78719,9.6
Rentam Studio - Embassy Gardens,85750,9.6
The Portrait,50593,9.5
East Airport Suites4 -Private room,73745,9.3
The VVIP Luxury Apartments @ Gardens,94325,9.3
Accra Luxury Apartments,80742,9.2
"Sandpark Place, West Hills",37044,9.1
Maple Homes,70229,9.1
La Casa Baatsona Apts,92610,9.1
Top Base Apartments,30870,9.0
Eighty8 Properties two bedroom apartment,46777,9.0
Suus Rahma Guest House & Apartments,47163,9.0
The Winford Hotel Airport,68686,9.0
The gallery,74860,9.0
Nana's Holiday Let,23153,8.9
The Cabyn,57024,8.9
Accra Luxury Apartments @ Silicon Square,65599,8.9
The Alima Suites,94325,8.9
THE W RESIDENCES,55738,8.8
Detouz Lodging,36873,8.7
"SUPERIOR APARTMENT, 2 MASTER ENSUITE BEDROOMS, WIFI, LARGE LIVING ROOM, 3 BATHS, 3 TOILETS, HOT WATER, AIR CONDITION, 24 hr SECURITY, BIG KITCHEN, DETACHED BUILDING, 20 MINUTES KOTOKA AIRPORT ACCRA, RESTAURANT, BAR, GARDEN, LARGE CHILDREN PLAY AREA",69458,8.7
The Ritzz Exclusive Guest House,86179,8.7
The Avery Apartments,94325,8.7
somewhere nice,55309,8.6
"SUCCESS ROOM Ensuit - East Legon, Adjiringanor",25725,8.5
Van Der Salle,46305,8.5
Greystone Mansion,65599,8.5
"East Airport Suite 3, Accra, Ghana",48020,8.4
Benconi Lodge,51450,8.4
Monarch Hotel,72888,8.4
Accra Fine Suites - The Pearl In City,97755,8.4
Brannic Lodge,60025,8.3
AlanVal Suites,81154,8.3
Hallmark Properties- Apartment 2,84893,8.3
Charis Home Services,34300,8.2
Elizz guest house,18865,8.1
Beauty Hotel,34729,8.1
Golden Crystal Experience Hotel,48106,8.1
Eastoment Hotel,75460,8.1
Embassy Gardens Luxury Apartments,76318,8.1
Jaria Apartments,77175,8.1
chic luxury studio apartment -Embassy Gardens,90038,8.1
Sharp Guesthouse,41160,8.0
Selwilliam Hotel,50164,8.0
"FANTASTIC APARTMENT, 1 master ensuite bedroom, WIFI, air condition, separate living room, 2 toilets, 2 walk in shower rooms, hot water, separate kitchen, restaurant, bar, garden, 24 hour security, 20 minutes airport, detached property, North Legon Accra",51450,8.0
PrempehÂ’s Place,67914,8.0
Northwood Gardens,68600,8.0
Manjaro Suites,73316,8.0
Executive 3-Bed Furnished Apartment in Kwashieman,80571,8.0
Henlesby,94325,8.0
Airport Side Hotel,46305,7.9
The Gallery Luxury Apartments,70315,7.9
"The Avery Suites, East Legon",72888,7.9
Feehi's Place,34472,7.8
Kunta Kinte Hotel,48878,7.8
Bonsukoda Lodge,31728,7.7
Consir Executive Lodge,49345,7.7
High Level Apartment,51450,7.7
The Highbridge Guest Lodge,71173,7.7
Maxwell Court Apartments,81463,7.7
Janjay Hotel,60025,7.6
The Winford Boutique Hotel,38588,7.5
Jesiwa B's Little Palace,38892,7.5
Ampomaah Hotel,42446,7.5
Cocktail and Dreams Hotel,56402,7.5
Luxury in the City,66696,7.5
Eastgate Hotel,72750,7.5
Ave Maria Hotel,77175,7.5
Prestige Suites,81463,7.5
Dokua Royal Hotel,21060,7.4
Tropical Quest B&B,21438,7.4
African Treasure Beach Resort,30013,7.4
Hilton View Hotel,61740,7.4
East Airport Suite 1,73745,7.3
Bombay Hotel,34459,7.2
Airside Hotel,52325,7.2
Airport View Hotel,89875,7.2
ELLISA HOSPITALITY,34300,7.1
Stonehedge Place,87465,7.1
DanRitzcer Suites,25725,7.0
Eighty8 properties single condominium,28512,7.0
Dr.Sam's Residence,41675,7.0
Maple Leaf Hotel,59309,7.0
Phoenix Villas,92610,7.0
Private Executive Apartments,33014,6.9
The Congress Hotel,65770,6.8
Gallery Apartments by BestWest Hospitality,85750,6.8
"Ensuite Room, 3min drive from US Embassy, Gym+Pool",57881,6.7
The Gallery - managed by Clifton Homes,85750,6.6
Hill View Hotel West Airport,48440,6.5
Byblos Hotel Ghana,72888,6.5
Covenant Hotel,92610,6.5
Omanye Lodge,24868,6.4
Pekan Hotel,38416,6.4
Liana Hotel,48878,6.4
"SPACIOUS APARTMENT, SLEEPS UP TO 8 PEOPLE, 2 BEDROOMS, 2 BATHS, 2 TOILETS, LARGE LIVING ROOM, AIR CONDITION, WIFI, BALCONY, GARDEN, KITCHEN, GARDEN, 20 MINUTES FROM AIRPORT, GROUND FLOOR, DETACHED BUILDING, 24 hr SECURITY, NORTH LEGON, ACCRA",61954,6.4
SBJ Place,43990,6.0
PLSA -East legon,77175,6.0
PLSA Gardens,94325,6.0
